user_id,pais,moneda,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,descripcion,valor,categoria,fecha,tipo_texto,comercio,perfil_financiero,probabilidad_perfil,recomendaciones,gasto_total_mes,ratio_gasto_ingreso
175,CL,CLP,1404496,13,Alta,ALMUERZO EN UBER EATS,13323,alimentacion,2026-06-04,natural,Uber Eats,saludable,0.143,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6576621,4.683
132,CL,CLP,1891226,18,Baja,COMPRA REDCOMPRA LA POLAR SUC,27935,otros,2026-10-27,cartola,La Polar,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9141301,4.834
37,AR,ARS,162490,32,Alta,VIAJE EN YPF,21118,transporte,2026-01-27,natural,YPF,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3059550,18.829
81,AR,ARS,98574,70,Baja,médico farmacias dr ahorro,7962,salud,2026-09-19,natural,Farmacias Dr Ahorro,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2702667,27.418
91,AR,ARS,185544,48,Baja,MERCADOPAGO*FERRIND,41339,vivienda,2026-03-27,cartola,Ferreteria Industrial,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3300876,17.79
93,AR,ARS,220584,62,Baja,exepnsas zonaprop,42547,vivienda,2026-09-11,natural,Zonaprop,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4124700,18.699
60,AR,ARS,284112,72,Baja,consulta en omint,95000,salud,2026-10-10,natural,OMINT,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4786099,16.846
83,AR,ARS,221356,21,Alta,COMPRA DE AGIP RENTAS CORDOBA,35437,otros,2026-10-27,natural,AGIP Rentas,saludable,0.143,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3610733,16.312
40,AR,ARS,116603,36,Alta,pago en el noble 1049,21308,alimentacion,2026-03-11,natural,El Noble,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3352190,28.749
82,AR,ARS,153001,67,Baja,diarco compra pos,45036,alimentacion,2026-08-14,cartola,Diarco,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3425531,22.389
92,AR,ARS,145183,29,Baja,uber trenes argentinos,2763,transporte,2026-06-28,natural,Trenes Argentinos,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2747004,18.921
155,CL,CLP,1196643,57,Alta,cargoautomáticoamazonprimevideo,8972,streaming,2026-08-15,natural,Amazon Prime Video,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",7054132,5.895
58,AR,ARS,213080,30,Baja,teatro on fit,41098,ocio,2026-09-06,natural,On Fit,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4216137,19.787
237,CL,CLP,1384085,37,Baja,RTANSBANK SCHOPDOG,19253,alimentacion,2026-06-06,cartola,Schopdog,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9300680,6.72
124,CL,CLP,1461094,77,Baja,pago movistar hogar,39499,servicios,2026-09-15,natural,Movistar Hogar,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9250314,6.331
123,CL,CLP,1163071,14,Baja,TRANSACCIÓN BANCO ESTADO TARJETA,2120,otros,2026-04-18,natural,Banco Estado Tarjeta,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",8808715,7.574
136,CL,CLP,1219072,31,Alta,tranasntiago buses metropolitana,8364,transporte,2026-12-13,cartola,Buses Metropolitana,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9000421,7.383
95,AR,ARS,201275,36,Baja,PAGO MERCADO LIBRE,36608,otros,2026-04-29,natural,Mercado Libre,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4036840,20.056
179,CL,CLP,1343894,42,Alta,gasto en tomates,6283,alimentacion,2026-10-25,item_generico,ITEM_GENERICO,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9347419,6.955
132,CL,CLP,1891226,18,Baja,PATSPOTIFYCHILEBSAS1998,6237,streaming,2026-08-12,cartola,Spotify,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9141301,4.834
73,AR,ARS,250361,52,Media,YENNY COMPRA INTERNET CONCEPCION 1909,55504,educacion,2026-12-18,cartola,Libreria Yenny,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4246116,16.96
1,AR,ARS,247621,19,Baja,recarga sube acc,7166,transporte,2026-01-28,cartola,SUBE,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4361323,17.613
221,CL,CLP,1500299,5,Media,DENTALALEGRE CLINICA DENTAL 8425,49025,salud,2026-02-19,cartola,Dentalalegre,en_observacion,0.2,"[""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9184322,6.122
106,AR,ARS,129780,42,Baja,nafta chevallier 9033,19265,transporte,2026-07-10,natural,Chevallier,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2963466,22.835
84,AR,ARS,229695,78,Media,mp*max hbo argentina 6259,24942,streaming,2026-07-11,cartola,Max HBO Argentina,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3840449,16.72
217,CL,CLP,1637938,64,Media,PLANMENSUALAMAZONPRIMEVIDEO ROSARIO,5609,streaming,2026-03-14,natural,Amazon Prime Video,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",8265618,5.046
79,AR,ARS,265556,12,Baja,mantenimiento zonaprop,43698,vivienda,2026-08-07,natural,Zonaprop,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3739276,14.081
92,AR,ARS,145183,29,Baja,CARGA COMBUSTIBLE METROVIAS 319,7772,transporte,2026-12-13,natural,Metrovias,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2747004,18.921
122,CL,CLP,1908636,43,Media,LIBRERIASUBSUELOCOMPRA,27838,educacion,2026-10-30,cartola,Librería Subsuelo,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",8467596,4.436
178,CL,CLP,1148616,57,Media,pat max hbo chile,15915,streaming,2026-11-12,cartola,Max HBO,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",8629427,7.513
143,CL,CLP,1396924,76,Baja,COMPRA REDCOMPRA AHUMADA,50906,salud,2026-03-06,cartola,Farmacias Ahumada,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",8585719,6.146
90,AR,ARS,251299,17,Baja,cuotalibreriasbs CORDOBA,64406,educacion,2026-11-20,natural,Libreria SBS,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3695948,14.707
219,CL,CLP,1316792,79,Alta,ALMEURZO EN LIDER CABA,39381,alimentacion,2026-01-25,natural,Lider,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9919318,7.533
203,CL,CLP,1474427,72,Alta,peaje peaje lateral 1713 860,4802,transporte,2026-06-20,natural,Peaje Lateral,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9157562,6.211
179,CL,CLP,1343894,42,Alta,ADQUISICIÓN DE JUEGO DE MESA,7986,ocio,2026-10-25,item_generico,ITEM_GENERICO,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9347419,6.955
77,AR,ARS,225207,34,Alta,cursodecolegiosanandres CORDOBA,240001,educacion,2026-11-17,natural,Colegio San Andres,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3702129,16.439
93,AR,ARS,220584,62,Baja,BANCHERO PIZZERIA SUC 4378,41953,alimentacion,2026-06-07,cartola,Banchero,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4124700,18.699
162,CL,CLP,1188415,40,Baja,libreriaelsembradorcompra,39202,educacion,2026-09-27,cartola,Librería El Sembrador,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",8595767,7.233
179,CL,CLP,1343894,42,Alta,cerdo,2857,alimentacion,2026-10-25,item_generico,ITEM_GENERICO,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9347419,6.955
35,AR,ARS,185162,39,Baja,FLECHABUSCOMPRAPOS,52969,transporte,2026-06-14,cartola,Flecha Bus,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3666325,19.801
163,CL,CLP,1085367,49,Alta,CLINICA DENTAL CUMBRE POS ROSARIO,224800,salud,2026-01-29,cartola,Clínica Dental Cumbre,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9170543,8.449
168,CL,CLP,727336,60,Media,transbank juan vladez CORDOBA,9149,alimentacion,2026-05-25,cartola,Juan Valdez,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",5804824,7.981
221,CL,CLP,1500299,5,Media,PAT ISAPRE BANMEDICA,360444,salud,2026-11-12,cartola,Isapre Banmédica,en_observacion,0.2,"[""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9184322,6.122
33,AR,ARS,259467,46,Baja,matrícula colegio cardinal newman,250000,educacion,2026-05-01,natural,Colegio Cardinal Newman,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4175933,16.094
85,AR,ARS,143700,65,Media,BANCO MACRO DEB AUTOMATICO CABA 395,7853,otros,2026-12-09,cartola,Banco Macro,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2885825,20.082
24,AR,ARS,179647,40,Media,GYM SMART FIT ARGENTINA 706,31418,ocio,2026-05-19,natural,Smart Fit Argentina,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3061521,17.042
201,CL,CLP,605315,76,Baja,BENCINA PETROBRAS 5078,23930,transporte,2026-10-02,cartola,Petrobras,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6251654,10.328
147,CL,CLP,810575,60,Baja,pat usach cuota academica,138684,educacion,2026-07-04,cartola,Universidad de Santiago USACH,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6497165,8.016
171,CL,CLP,1709192,29,Media,transantiago buses metropolitana,3105,transporte,2026-06-12,cartola,Buses Metropolitana,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9485783,5.55
69,AR,ARS,123287,38,Alta,argentina ahorro 6214 dr,15929,salud,2026-03-12,cartola,Farmacias Dr Ahorro,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2669443,21.652
96,AR,ARS,196164,75,Baja,matrícula universidad de belgrano ub,180001,educacion,2026-06-20,natural,Universidad de Belgrano UB,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3342292,17.038
216,CL,CLP,1370041,57,Media,pago cuenta pat lipigas,28818,servicios,2026-09-15,cartola,Lipigas,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6446457,4.705
204,CL,CLP,1748754,45,Media,pago cuenta apt nuevosur agua,106670,servicios,2026-12-17,cartola,Nuevosur,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",8951019,5.119
221,CL,CLP,1500299,5,Media,COMPRA EN DUNKIN DONUTS CABA,14792,alimentacion,2026-02-16,natural,Dunkin Donuts,en_observacion,0.2,"[""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9184322,6.122
179,CL,CLP,1343894,42,Alta,adquisición de cortina,10790,vivienda,2026-10-25,item_generico,ITEM_GENERICO,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9347419,6.955
179,CL,CLP,1343894,42,Alta,adquisición de billetera,2383,otros,2026-10-25,item_generico,ITEM_GENERICO,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9347419,6.955
89,AR,ARS,271122,11,Alta,PREVENCION SALUD COMPRA 2668,80307,salud,2026-09-10,cartola,Prevencion Salud,saludable,0.143,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4046605,14.925
32,AR,ARS,247772,76,Baja,compra en dean & dennys 3972,15837,alimentacion,2026-08-19,natural,Dean & Dennys,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4450666,17.963
41,AR,ARS,227159,73,Media,FLOW TELECOM COMPRA 9510,22091,servicios,2026-07-01,cartola,Telecom Fibertel,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4172809,18.37
77,AR,ARS,225207,34,Alta,ticketek entradas suc,16788,ocio,2026-08-10,cartola,Ticketek,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3702129,16.439
106,AR,ARS,129780,42,Baja,ligier compra pos,24273,vivienda,2026-07-31,cartola,Ligier Pinturerias,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2963466,22.835
141,CL,CLP,774348,38,Baja,pago en papa johns,23938,alimentacion,2026-03-08,natural,Papa Johns,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6359521,8.213
27,AR,ARS,255682,39,Alta,EDESUR PAGO DIRECTO VALPO,58821,servicios,2026-06-23,cartola,Edesur,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4202502,16.436
162,CL,CLP,1188415,40,Baja,uberpeajetroncallampa,4464,transporte,2026-05-06,natural,Peaje Troncal Lampa,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",8595767,7.233
198,CL,CLP,1875853,5,Baja,peaje costanera norte,38147,transporte,2026-06-28,natural,Costanera Norte,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9213616,4.912
158,CL,CLP,581211,65,Baja,PLAN MENSUAL NETFLIX CHILE CORDOBA 944,16256,streaming,2026-01-27,natural,Netflix Chile,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",5655094,9.73
181,CL,CLP,1894458,53,Alta,compra webpay sodimac,248331,vivienda,2026-08-14,cartola,Sodimac Homecenter,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9518582,5.024
73,AR,ARS,250361,52,Media,cuotahipotecapintureriasrex,33884,vivienda,2026-02-02,natural,Pinturerias Rex,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4246116,16.96
112,AR,ARS,213124,15,Baja,mp*amazon prime arg,6163,streaming,2026-03-20,cartola,Amazon Prime Argentina,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3703344,17.376
145,CL,CLP,812589,74,Baja,TEATRO STEAM GAMES,41140,ocio,2026-09-13,natural,Steam Games,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6358345,7.825
72,AR,ARS,161714,56,Alta,TRANSACCIÓNMERCADOPAGO,46949,otros,2026-07-01,natural,Mercado Pago,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2995054,18.521
8,AR,ARS,86956,76,Baja,TRANSACCIÓN FEDERACION PATRONAL SEGUROS,23756,otros,2026-10-09,natural,Federacion Patronal Seguros,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2645282,30.421
85,AR,ARS,143700,65,Media,EDESURPAGODIRECTO CONCEPCION 3531,19952,servicios,2026-04-28,cartola,Edesur,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2885825,20.082
145,CL,CLP,812589,74,Baja,patnetflixchile 820,221003,streaming,2026-02-21,cartola,Netflix Chile,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6358345,7.825
32,AR,ARS,247772,76,Baja,cuspide suc compra CONCEPCION 7521,33205,educacion,2026-05-27,cartola,Librerias Cuspide,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4450666,17.963
237,CL,CLP,1384085,37,Baja,UBER PEAJE TRONCAL LAMPA,3631,transporte,2026-11-29,natural,Peaje Troncal Lampa,en_observacion,1.0,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",9300680,6.72
93,AR,ARS,220584,62,Baja,ENTRADA A LA TRASTIENDA,47878,ocio,2026-12-04,natural,La Trastienda,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4124700,18.699
1,AR,ARS,247621,19,Baja,DEB AUT MEGATLON SUC CONCEPCION,40997,ocio,2026-03-04,cartola,Megatlon,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4361323,17.613
227,CL,CLP,1902729,56,Alta,pat debito ruta itata CONCEPCION 8455,7578,transporte,2026-09-10,cartola,Ruta del Itata,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",9967928,5.239
8,AR,ARS,86956,76,Baja,metrogas debito aut 3621,24688,servicios,2026-11-01,cartola,Metrogas,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2645282,30.421
69,AR,ARS,123287,38,Alta,SEGURO HOGAR FERRETERIA INDUSTRIAL,10762,vivienda,2026-07-12,natural,Ferreteria Industrial,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",2669443,21.652
