descripcion,valor,categoria_final,pais,moneda
salida fin de semana,32252,ocio,CL,CLP
expensas,878944,vivienda,AR,ARS
donacion,15481,otros,AR,ARS
plan de internet hogar,98018,servicios,AR,ARS
pago en sodimac,322216,vivienda,CL,CLP
suscripcion a ticketek,30519,ocio,AR,ARS
plan de internet hogar,103084,servicios,AR,ARS
multa,40523,otros,CL,CLP
cabify,8280,transporte,CL,CLP
pago barugel azulay,455852,vivienda,AR,ARS
mensualidad universidad de santiago,177263,educacion,CL,CLP
compra en playstation store,38447,ocio,CL,CLP
compra en pacific gym,45062,otros,CL,CLP
pago en uber eats,31941,alimentacion,CL,CLP
juan valdez,28700,alimentacion,CL,CLP
pago sodimac,484308,vivienda,AR,ARS
cuenta de gas lipigas,53812,servicios,CL,CLP
prevencion salud,33409,salud,AR,ARS
compra en la anonima,53406,alimentacion,AR,ARS
pago barugel azulay,459797,vivienda,AR,ARS
pago cuota farmacia del pueblo,68381,salud,AR,ARS
multa,34798,otros,CL,CLP
sportclub,58973,otros,AR,ARS
isapre consalud,43680,salud,CL,CLP
pago plan flow,79297,servicios,AR,ARS
pago cuota farmacia del pueblo,140116,salud,AR,ARS
cinemark,24610,ocio,CL,CLP
farmacity,138497,salud,AR,ARS
plan de internet hogar,76369,servicios,AR,ARS
coursera,88037,educacion,CL,CLP
farmacity,65362,salud,AR,ARS
pago en makro,29873,alimentacion,AR,ARS
plan de internet hogar,52346,servicios,AR,ARS
sodimac,648005,vivienda,AR,ARS
farmacia del pueblo,133348,salud,AR,ARS
sportclub,60216,otros,AR,ARS
makro,17034,alimentacion,AR,ARS
ypf,45965,transporte,AR,ARS
pago en juan valdez,33492,alimentacion,CL,CLP
isapre banmedica,76118,salud,CL,CLP
pago en sodimac,342589,vivienda,CL,CLP
puma,36102,transporte,AR,ARS
hbo max,43494,ocio,AR,ARS
plan de internet hogar,100862,servicios,AR,ARS
mensualidad universidad de santiago,28515,educacion,CL,CLP
almuerzo,14705,alimentacion,CL,CLP
plan de internet hogar,39917,servicios,AR,ARS
consulta en farmacia del pueblo,44250,salud,AR,ARS
veterinaria,30082,otros,CL,CLP
kiosco,44677,alimentacion,AR,ARS
carga nafta en puma,42503,transporte,AR,ARS
inscripcion en duoc uc,96571,educacion,CL,CLP
compra en dominos pizza,37021,alimentacion,CL,CLP
pago mensualidad pacific gym,31974,otros,CL,CLP
pago platzi,255889,educacion,CL,CLP
compra en construmart,393409,vivienda,CL,CLP
pago en ypf,39246,transporte,AR,ARS
amazon prime video,24504,ocio,CL,CLP
pago factura aysa,76369,servicios,AR,ARS
cuenta de agua aguas andinas,34613,servicios,CL,CLP
entrada a concierto,18045,ocio,CL,CLP
seguro de hogar,736801,vivienda,AR,ARS
pedido en makro,18957,alimentacion,AR,ARS
pago en easy,179826,vivienda,CL,CLP
ekono,15789,alimentacion,CL,CLP
permiso de circulacion,19263,transporte,CL,CLP
compra en sportlife,34986,otros,CL,CLP
compra en sodimac,660554,vivienda,AR,ARS
compra en coto,47874,alimentacion,AR,ARS
cuenta de gas metrogas,19847,servicios,CL,CLP
compra en la anonima,16163,alimentacion,AR,ARS
compra en sodimac,639813,vivienda,AR,ARS
la anonima,39278,alimentacion,AR,ARS
examen laboratorio,62939,salud,CL,CLP
consulta optica,68716,salud,AR,ARS
inscripcion en coursera,79479,educacion,CL,CLP
cuota universidad privada,291619,educacion,AR,ARS
pago en construmart,344759,vivienda,CL,CLP
regalo cumpleanos,25792,otros,AR,ARS
mensualidad universidad de chile,297589,educacion,CL,CLP
compra en sodimac,647668,vivienda,AR,ARS
cafe,55026,alimentacion,AR,ARS
pago en changomas,78244,alimentacion,AR,ARS
cafe,17478,alimentacion,CL,CLP
kiosco,27735,alimentacion,AR,ARS
viaje en didi,25028,transporte,CL,CLP
pago mensualidad megatlon,62359,otros,AR,ARS
compra en dia,49681,alimentacion,AR,ARS
carga nafta en shell,41314,transporte,AR,ARS
pago plan edesur,22981,servicios,AR,ARS
tramite en notaria,19275,otros,CL,CLP
cuota colegio,282453,educacion,AR,ARS
permiso de circulacion,14603,transporte,CL,CLP
personal,52749,servicios,AR,ARS
sesion psicologo,78048,salud,CL,CLP
compra en unimarc,41031,alimentacion,CL,CLP
suscripcion a hbo max,28419,ocio,AR,ARS
suscripcion a coursera,70416,educacion,AR,ARS
inacap,265899,educacion,CL,CLP
pago factura flow,39073,servicios,AR,ARS
pago mensualidad sportclub,11608,otros,AR,ARS
cuenta de gas metrogas,35590,servicios,CL,CLP
mensualidad universidad de chile,209526,educacion,CL,CLP
inscripcion en udemy,222462,educacion,CL,CLP
pedido en kfc,41256,alimentacion,CL,CLP
sportlife,18562,otros,CL,CLP
cafe,59851,alimentacion,AR,ARS
utiles escolares,215140,educacion,AR,ARS
suscripcion a udemy,245360,educacion,AR,ARS
compra en hbo max,60216,ocio,AR,ARS
compra en sportclub,28476,otros,AR,ARS
kiosco,58911,alimentacion,AR,ARS
compra en rappi,68731,alimentacion,AR,ARS
suscripcion a inacap,45063,educacion,CL,CLP
compra en construmart,391043,vivienda,CL,CLP
almuerzo,13180,alimentacion,CL,CLP
curso de ingles,242575,educacion,AR,ARS
mensualidad universidad,151389,educacion,CL,CLP
consulta en clinica alemana,64510,salud,CL,CLP
utiles escolares,140469,educacion,AR,ARS
utiles escolares,337274,educacion,AR,ARS
viaje en terpel,17021,transporte,CL,CLP
farmacia del pueblo,125523,salud,AR,ARS
regalo cumpleanos,33925,otros,CL,CLP
farmacia del pueblo,30664,salud,AR,ARS
suscripcion a cine hoyts,61334,ocio,AR,ARS
pago plan edenor,27329,servicios,AR,ARS
carniceria,75300,alimentacion,AR,ARS
pago mensualidad sportlife,25021,otros,CL,CLP
pago plan wom,32912,servicios,CL,CLP
cuenta de gas lipigas,43734,servicios,CL,CLP
salida fin de semana,55474,ocio,AR,ARS
farmacity,129518,salud,AR,ARS
wom,34357,servicios,CL,CLP
arriendo casa,242875,vivienda,CL,CLP
estacionamiento,32131,transporte,AR,ARS
pago factura flow,88585,servicios,AR,ARS
axion,9862,transporte,AR,ARS
coursera,201073,educacion,CL,CLP
cuenta de gas metrogas,47152,servicios,CL,CLP
plan de internet hogar,30417,servicios,AR,ARS
cinemark,52868,ocio,AR,ARS
compra en sportclub,25933,otros,AR,ARS
alquiler casa,338436,vivienda,AR,ARS
viaje en copec,27596,transporte,CL,CLP
didi,4280,transporte,CL,CLP
pago plan vtr,70565,servicios,CL,CLP
peaje,42533,transporte,AR,ARS
cafe,23217,alimentacion,CL,CLP
suscripcion a ticketek,63282,ocio,AR,ARS
compra en farmacia del pueblo,61359,salud,AR,ARS
pago en sodimac,172735,vivienda,CL,CLP
pago mensualidad sportlife,10521,otros,CL,CLP
cuenta de gas abastible,77719,servicios,CL,CLP
pedidosya,23655,alimentacion,AR,ARS
pago plan gtd manquehue,55490,servicios,CL,CLP
pago cuenta entel,50818,servicios,CL,CLP
reparacion del hogar,707777,vivienda,AR,ARS
transferencia a familiar,7112,otros,CL,CLP
compra en spotify,35075,ocio,CL,CLP
barugel azulay,347727,vivienda,AR,ARS
estacionamiento,29982,transporte,CL,CLP
ypf,29525,transporte,AR,ARS
pago en mayorista 10,47303,alimentacion,CL,CLP
pago en uber,17632,transporte,AR,ARS
matricula colegio,271967,educacion,CL,CLP
clinica alemana,61881,salud,CL,CLP
claro,56725,servicios,AR,ARS
pago plan vtr,75565,servicios,CL,CLP
curso de ingles,270888,educacion,CL,CLP
pago en changomas,27671,alimentacion,AR,ARS
compra en sodimac,209782,vivienda,CL,CLP
pago plan claro,49879,servicios,CL,CLP
compra en starbucks,51925,alimentacion,CL,CLP
plan de internet hogar,41864,servicios,AR,ARS
platzi,212502,educacion,AR,ARS
pago mensualidad sportlife,26108,otros,CL,CLP
compra en sportlife,35006,otros,CL,CLP
viaje en turbus,39070,transporte,CL,CLP
seguro de hogar,364064,vivienda,CL,CLP
inscripcion en udemy,388908,educacion,AR,ARS
entrada disney plus,58773,ocio,AR,ARS
compra en barugel azulay,531512,vivienda,AR,ARS
consulta dentista,64224,salud,AR,ARS
seguro de hogar,706881,vivienda,AR,ARS
reparacion del hogar,306185,vivienda,AR,ARS
cuenta de agua aguas andinas,65091,servicios,CL,CLP
suscripcion a ticketmaster,45178,ocio,CL,CLP
pago mensualidad pacific gym,32724,otros,CL,CLP
panaderia,31260,alimentacion,AR,ARS
suscripcion a platzi,52620,educacion,AR,ARS
pago platzi,188407,educacion,CL,CLP
pago mensualidad pacific gym,25524,otros,CL,CLP
carga bencina en cabify,5638,transporte,CL,CLP
spotify,59679,ocio,AR,ARS
compra en barugel azulay,694609,vivienda,AR,ARS
alquiler casa,324906,vivienda,AR,ARS
veterinaria,9483,otros,CL,CLP
pago en puma,23101,transporte,AR,ARS
viaje en terpel,27847,transporte,CL,CLP
examen de laboratorio,134711,salud,AR,ARS
compra en barugel azulay,709985,vivienda,AR,ARS
almuerzo,18101,alimentacion,AR,ARS
salida fin de semana,41558,ocio,CL,CLP
paseo,34395,ocio,CL,CLP
pago plan edenor,74519,servicios,AR,ARS
multa,59693,otros,AR,ARS
viaje en axion,21951,transporte,AR,ARS
salida fin de semana,29087,ocio,CL,CLP
paseo,27635,ocio,AR,ARS
inscripcion en coursera,331933,educacion,AR,ARS
prevencion salud,117267,salud,AR,ARS
mensualidad universidad de santiago,255572,educacion,CL,CLP
sancor salud,111113,salud,AR,ARS
pago en burger king,36143,alimentacion,AR,ARS
easy,501863,vivienda,AR,ARS
cuenta de gas metrogas,24779,servicios,CL,CLP
compra en amazon prime video,30771,ocio,CL,CLP
compra en sportclub,49330,otros,AR,ARS
suscripcion a netflix,20557,ocio,AR,ARS
consulta en farmacia del pueblo,22572,salud,AR,ARS
suscripcion a hbo max,34817,ocio,CL,CLP
sesion kinesiologo,70107,salud,CL,CLP
mensualidad universidad de chile,191670,educacion,CL,CLP
udemy,287323,educacion,AR,ARS
farmacia doctor simi,57089,salud,CL,CLP
axion,44647,transporte,AR,ARS
pago cuenta gtd manquehue,71981,servicios,CL,CLP
spotify,64600,ocio,AR,ARS
compra en disco,34569,alimentacion,AR,ARS
personal,22500,servicios,AR,ARS
transferencia a familiar,54220,otros,AR,ARS
compra en pedidosya,19935,alimentacion,CL,CLP
pago mensualidad pacific gym,15353,otros,CL,CLP
coursera,294429,educacion,AR,ARS
salida fin de semana,69004,ocio,AR,ARS
pago plan wom,71227,servicios,CL,CLP
veterinaria,55079,otros,AR,ARS
compra en sodimac,408277,vivienda,CL,CLP
pago barugel azulay,764586,vivienda,AR,ARS
sportclub,26226,otros,AR,ARS
peluqueria,41993,otros,AR,ARS
swiss medical,118650,salud,AR,ARS
feria lo valledor,49583,alimentacion,CL,CLP
carga bencina en turbus,29635,transporte,CL,CLP
compra en doggis,52405,alimentacion,CL,CLP
pago barugel azulay,876884,vivienda,AR,ARS
pago mensualidad sportclub,48048,otros,AR,ARS
multa,42540,otros,AR,ARS
pago plan wom,36618,servicios,CL,CLP
compra en easy,308030,vivienda,CL,CLP
compra en salcobrand,69942,salud,CL,CLP
cinepolis,35672,ocio,CL,CLP
paseo,29540,ocio,CL,CLP
mcdonalds,56454,alimentacion,CL,CLP
gtd manquehue,32519,servicios,CL,CLP
compra en sodimac,326499,vivienda,AR,ARS
plan de internet hogar,44832,servicios,AR,ARS
verduleria,18934,alimentacion,CL,CLP
inscripcion en coursera,35615,educacion,AR,ARS
almuerzo,75793,alimentacion,AR,ARS
pago barugel azulay,859837,vivienda,AR,ARS
pago udemy,92123,educacion,CL,CLP
plan de internet hogar,74269,servicios,AR,ARS
pago en farmacia doctor simi,66993,salud,CL,CLP
curso de ingles,255196,educacion,CL,CLP
sodimac,382554,vivienda,CL,CLP
inscripcion en coursera,169724,educacion,CL,CLP
paseo,25106,ocio,CL,CLP
construmart,386203,vivienda,CL,CLP
dividendo hipotecario,375480,vivienda,CL,CLP
platzi,111797,educacion,CL,CLP
carniceria,50762,alimentacion,AR,ARS
entrada ticketmaster,41891,ocio,CL,CLP
barugel azulay,636526,vivienda,AR,ARS
pago plan enel,61090,servicios,CL,CLP
curso de ingles,30629,educacion,AR,ARS
pago platzi,137698,educacion,AR,ARS
carga bencina en copec,29502,transporte,CL,CLP
ticketek,62280,ocio,AR,ARS
compra en sodimac,227360,vivienda,CL,CLP
taller mecanico,45650,transporte,AR,ARS
compra en burger king,19328,alimentacion,CL,CLP
pedido en santa isabel,22848,alimentacion,CL,CLP
carga nafta en puma,10099,transporte,AR,ARS
sportlife,38124,otros,CL,CLP
pago mensualidad megatlon,52924,otros,AR,ARS
compra en farmacity,122567,salud,AR,ARS
panaderia,29217,alimentacion,CL,CLP
alquiler departamento,603915,vivienda,AR,ARS
pago en clinica alemana,52823,salud,CL,CLP
sodimac,476831,vivienda,AR,ARS
compra en changomas,46219,alimentacion,AR,ARS
megatlon,50313,otros,AR,ARS
entrada amazon prime video,21155,ocio,CL,CLP
lider,8994,alimentacion,CL,CLP
pago easy,825465,vivienda,AR,ARS
pago cuenta claro,23879,servicios,CL,CLP
carniceria,15589,alimentacion,CL,CLP
pago mensualidad sportlife,9100,otros,CL,CLP
integramedica,62711,salud,CL,CLP
fonasa,43175,salud,CL,CLP
cafe,13286,alimentacion,AR,ARS
medife,37187,salud,AR,ARS
farmacia del pueblo,149207,salud,AR,ARS
viaje en turbus,20589,transporte,CL,CLP
netflix,16504,ocio,AR,ARS
cuota universidad privada,195533,educacion,AR,ARS
inacap,92560,educacion,CL,CLP
carrefour,62967,alimentacion,AR,ARS
compra en disney plus,55725,ocio,AR,ARS
metro de santiago,14754,transporte,CL,CLP
colectivo,32431,transporte,AR,ARS
axion,31928,transporte,AR,ARS
paseo,29457,ocio,CL,CLP
viaje en axion,58568,transporte,AR,ARS
mantencion edificio,196205,vivienda,CL,CLP
pedido en uber eats,38919,alimentacion,CL,CLP
copec,7772,transporte,CL,CLP
compra en integramedica,88611,salud,CL,CLP
pago factura telecentro,110386,servicios,AR,ARS
entrada a recital,11672,ocio,AR,ARS
compra en pacific gym,32413,otros,CL,CLP
pago en integramedica,86399,salud,CL,CLP
pago en construmart,209985,vivienda,CL,CLP
reparacion del hogar,783671,vivienda,AR,ARS
estacionamiento,27184,transporte,CL,CLP
playstation store,9081,ocio,CL,CLP
suscripcion a hbo max,19901,ocio,AR,ARS
wom,39896,servicios,CL,CLP
cuenta de gas lipigas,22013,servicios,CL,CLP
cuota universidad privada,75530,educacion,AR,ARS
multa,13590,otros,AR,ARS
pago factura aysa,115889,servicios,AR,ARS
cuota universidad privada,150170,educacion,AR,ARS
pago en clinica alemana,57098,salud,CL,CLP
platzi,240053,educacion,AR,ARS
pago en la anonima,42465,alimentacion,AR,ARS
reparacion del hogar,381758,vivienda,CL,CLP
cuenta de gas metrogas,45200,servicios,CL,CLP
compra en sodimac,176089,vivienda,CL,CLP
pago cuenta movistar,70733,servicios,CL,CLP
pedido en rappi,79258,alimentacion,AR,ARS
ypf,25208,transporte,AR,ARS
suscripcion a netflix,65585,ocio,AR,ARS
pago en sodimac,308765,vivienda,CL,CLP
verduleria de barrio,11847,alimentacion,AR,ARS
suscripcion a spotify,31971,ocio,AR,ARS
pacific gym,12542,otros,CL,CLP
cuenta de agua aguas andinas,24183,servicios,CL,CLP
aysa,22844,servicios,AR,ARS
entrada disney plus,43321,ocio,AR,ARS
viaje en axion,47694,transporte,AR,ARS
pago en farmacia doctor simi,34466,salud,CL,CLP
compra en sodimac,345374,vivienda,CL,CLP
inscripcion en udemy,397430,educacion,AR,ARS
entrada cinemark,7550,ocio,CL,CLP
duoc uc,171871,educacion,CL,CLP
plan de internet hogar,74700,servicios,AR,ARS
carga nafta en cabify,13671,transporte,AR,ARS
barugel azulay,576106,vivienda,AR,ARS
claro,39294,servicios,CL,CLP
pago factura edenor,68997,servicios,AR,ARS
regalo cumpleanos,17527,otros,AR,ARS
pago factura personal,21092,servicios,AR,ARS
compra en cine hoyts,18157,ocio,AR,ARS
cuenta de agua aguas andinas,68671,servicios,CL,CLP
carga bencina en terpel,18915,transporte,CL,CLP
salida a un bar,39439,ocio,CL,CLP
cuota colegio,333031,educacion,AR,ARS
pago en beat,34010,transporte,CL,CLP
compra en sodimac,163516,vivienda,CL,CLP
taller mecanico,14170,transporte,AR,ARS
salida a un bar,21800,ocio,AR,ARS
feria la vega central,13800,alimentacion,CL,CLP
compra en construmart,313852,vivienda,CL,CLP
pago en ypf,29409,transporte,AR,ARS
veterinaria,64938,otros,AR,ARS
pago mensualidad pacific gym,15771,otros,CL,CLP
recarga bip!,19353,transporte,CL,CLP
pedidosya,8191,alimentacion,AR,ARS
farmacia doctor simi,86927,salud,CL,CLP
compra en spotify,42296,ocio,AR,ARS
pago duoc uc,259659,educacion,CL,CLP
alquiler departamento,379062,vivienda,AR,ARS
arriendo departamento,444433,vivienda,CL,CLP
alquiler departamento,529448,vivienda,AR,ARS
cge,21059,servicios,CL,CLP
donacion,5071,otros,CL,CLP
pago mensualidad sportclub,10885,otros,AR,ARS
entel,35888,servicios,CL,CLP
alquiler casa,841455,vivienda,AR,ARS
entrada cinemark,14215,ocio,CL,CLP
pacific gym,8172,otros,CL,CLP
pago coursera,296054,educacion,CL,CLP
matricula colegio,224710,educacion,CL,CLP
farmacity,120224,salud,AR,ARS
pedido en rappi,21848,alimentacion,AR,ARS
puma,7189,transporte,AR,ARS
pago udemy,95323,educacion,CL,CLP
coursera,77272,educacion,AR,ARS
compra en easy,263911,vivienda,CL,CLP
utiles escolares,283667,educacion,CL,CLP
pago en sodimac,227432,vivienda,CL,CLP
clinica davila,58736,salud,CL,CLP
peluqueria,29029,otros,AR,ARS
cge,15808,servicios,CL,CLP
entrada a concierto,23970,ocio,CL,CLP
cuota colegio,143557,educacion,AR,ARS
pago plan edenor,39605,servicios,AR,ARS
compra en mcdonalds,46602,alimentacion,AR,ARS
entrada a recital,30536,ocio,AR,ARS
pago mensualidad megatlon,32943,otros,AR,ARS
compra en cruz verde,86609,salud,CL,CLP
pago cuenta enel,39718,servicios,CL,CLP
pago mensualidad sportclub,50342,otros,AR,ARS
pago plan edesur,112084,servicios,AR,ARS
clinica davila,80243,salud,CL,CLP
inscripcion en platzi,171048,educacion,CL,CLP
pago mensualidad pacific gym,38999,otros,CL,CLP
pago mensualidad sportlife,39042,otros,CL,CLP
consulta en farmacia del pueblo,147577,salud,AR,ARS
pago duoc uc,98391,educacion,CL,CLP
cuota jardin infantil,163244,educacion,CL,CLP
inscripcion en udemy,121768,educacion,AR,ARS
pedido en mcdonalds,12161,alimentacion,CL,CLP
compra en disney plus,69069,ocio,AR,ARS
rappi,28922,alimentacion,AR,ARS
feria la vega central,54385,alimentacion,CL,CLP
pago factura flow,57982,servicios,AR,ARS
taller mecanico,10923,transporte,AR,ARS
coursera,312016,educacion,AR,ARS
pago cuota farmacia del pueblo,149927,salud,AR,ARS
enel,16062,servicios,CL,CLP
colectivo,51710,transporte,AR,ARS
pedido en disco,68807,alimentacion,AR,ARS
consulta optica,142286,salud,AR,ARS
easy,333560,vivienda,CL,CLP
carniceria,46874,alimentacion,CL,CLP
pago platzi,297808,educacion,AR,ARS
dividendo hipotecario,318572,vivienda,CL,CLP
